Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,Avg Fight Time,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Weight_Class,Gender,DEC Count,KO Rate,SUB Rate,DEC Rate,Fighting Style,Total_Fights,Win_Rate
b361180739bed4b0,David Abbott,Tank,6.0,265.0,Switch,10,15,0,0,1.11,284.61,0.22,8.67,0.56,0.22,41.0,0.5,0.45,0.28,0.0,0.32,0.35,0.38,0.22,Heavyweight,Male,1.0,0.62,0.25,0.12,Hybrid,25,0.4
3329d692aea4dc28,Hamdy Abdelwahab,The Hammer,6.2,265.0,Southpaw,7,1,0,0,3.0,900.0,0.25,71.75,3.25,0.0,275.25,0.55,0.48,0.78,0.78,0.5,0.4,0.54,0.0,Heavyweight,Male,3.0,0.0,0.0,1.0,Striker,8,0.875
841695e02c99a521,Mansur Abdul-Malik,No Nickname,6.2,185.0,Orthodox,9,0,1,0,1.75,343.25,0.25,21.25,0.5,0.25,42.75,0.48,0.47,0.56,0.25,0.34,0.41,0.72,0.25,Middleweight,Male,0.0,0.67,0.33,0.0,Hybrid,10,0.9
2f5cbecbbe18bac4,Shamil Abdurakhimov,Abrek,6.3,235.0,Orthodox,20,8,0,0,2.18,567.45,0.27,25.64,1.0,0.09,99.36,0.43,0.37,0.42,0.68,0.3,0.38,0.38,0.09,Heavyweight,Male,1.0,0.8,0.0,0.2,Hybrid,28,0.7142857142857143
5140122c3eecd307,Daichi Abe,No Nickname,5.11,170.0,Orthodox,6,2,0,0,3.0,900.0,0.33,57.0,0.33,0.0,7.33,0.33,0.25,0.41,0.81,0.31,0.39,0.56,0.0,Welterweight,Male,1.0,0.0,0.0,1.0,Hybrid,8,0.75
c9f6385af6df66d7,Papy Abedi,Makambo,5.11,185.0,Southpaw,10,4,0,0,2.0,519.25,0.0,26.75,1.75,1.0,183.75,0.49,0.4,0.74,0.52,0.36,0.61,0.53,1.0,Welterweight,Male,1.0,0.0,0.5,0.5,Wrestler,14,0.7142857142857143
aa6e591c2a2cdecd,Ricardo Abreu,Demente,5.11,185.0,Orthodox,5,1,0,0,2.5,633.0,1.0,50.0,0.0,0.5,44.0,0.32,0.26,0.64,0.81,0.28,0.5,0.38,0.5,Middleweight,Male,1.0,0.0,0.5,0.5,Hybrid,6,0.8333333333333334
2620f3eb21c79614,Scott Adams,No Nickname,6.0,225.0,Southpaw,8,1,0,0,1.0,189.0,0.0,0.0,1.0,4.0,77.0,0.398,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Heavyweight,Male,0.0,0.0,1.0,0.0,Wrestler,9,0.8888888888888888
83b00f7597e5ac83,Juan Adams,The Kraken,6.5,265.0,Orthodox,5,3,0,0,2.0,430.5,0.25,33.75,0.25,0.0,36.5,0.51,0.45,0.46,0.75,0.51,0.56,0.58,0.0,Heavyweight,Male,0.0,1.0,0.0,0.0,Hybrid,8,0.625
1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,6.4,185.0,Switch,24,5,0,0,3.67,1055.0,0.22,65.06,0.33,0.0,38.44,0.45,0.33,0.59,0.83,0.43,0.49,0.34,0.0,Middleweight,Male,7.0,0.3,0.0,0.7,Hybrid,29,0.8275862068965517
a08ddd04eaffd81d,Mariya Agapova,Money Mashka,5.6,125.0,Southpaw,10,5,0,0,1.83,394.33,0.17,23.0,0.83,0.33,89.33,0.44,0.34,0.65,0.55,0.36,0.6,0.13,0.33,Women's Flyweight,Female,0.0,0.33,0.67,0.0,Hybrid,15,0.6666666666666666
8f382b3baa954d2a,Jessica Aguilar,Jag,5.3,115.0,Orthodox,20,8,0,0,2.6,764.2,0.0,72.0,0.0,0.2,74.0,0.51,0.27,0.8,0.77,0.29,0.77,0.33,0.2,Women's Strawweight,Female,2.0,0.0,0.0,1.0,Striker,28,0.7142857142857143
cf946e03ba2e7666,Kevin Aguilar,Angel of Death,5.7,155.0,Orthodox,17,5,0,0,2.67,783.5,0.33,56.5,0.67,0.0,66.0,0.47,0.4,0.72,0.64,0.44,0.56,0.39,0.0,Featherweight,Male,1.0,0.5,0.0,0.5,Striker,22,0.7727272727272727
c051c2e12d692b8a,Jesus Aguilar,No Nickname,5.4,125.0,Orthodox,12,3,0,0,2.0,522.67,0.0,25.17,0.83,0.67,91.67,0.57,0.3,0.9,0.65,0.57,0.32,0.31,0.67,Flyweight,Male,2.0,0.0,0.0,1.0,Striker,15,0.8
16690d100f995f8f,Omari Akhmedov,Wolverine,6.0,185.0,Orthodox,21,6,1,0,2.53,720.6,0.2,34.33,1.4,0.13,109.93,0.41,0.35,0.53,0.62,0.36,0.44,0.49,0.13,Middleweight,Male,4.0,0.17,0.17,0.67,Hybrid,28,0.75
